timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1619158181856,805,Facebook,200,OK,Thread Group 1-17,text,true,,192476,236,20,20,https://www.facebook.com/,201,0,0
1619158181856,201,Facebook-0,301,Moved Permanently,Thread Group 1-17,text,true,,366,118,20,20,http://www.facebook.com/,201,0,0
1619158182057,604,Facebook-1,200,OK,Thread Group 1-17,text,true,,192110,118,20,20,https://www.facebook.com/,339,0,0
1619158181639,1068,Quora ,200,OK,Thread Group 1-9,text,true,,159992,377,20,20,https://softwaremon.quora.com/,17,0,6
1619158182189,518,Facebook,200,OK,Thread Group 1-8,text,true,,192488,236,20,20,https://www.facebook.com/,204,0,0
1619158181639,17,Quora -0,301,Moved Permanently,Thread Group 1-9,,true,,328,127,20,20,http://www.softwaremon.quora.com/,17,0,6
1619158182189,204,Facebook-0,301,Moved Permanently,Thread Group 1-8,text,true,,366,118,20,20,http://www.facebook.com/,204,0,0
1619158181656,277,Quora -1,301,Moved Permanently,Thread Group 1-9,,true,,631,127,20,20,https://www.softwaremon.quora.com/,277,0,0
1619158181933,774,Quora -2,200,OK,Thread Group 1-9,text,true,,159033,123,20,20,https://softwaremon.quora.com/,297,0,0
1619158182393,314,Facebook-1,200,OK,Thread Group 1-8,text,true,,192122,118,20,20,https://www.facebook.com/,282,0,0
1619158182145,600,Twitter,200,OK,Thread Group 1-18,text,true,,68103,383,20,20,https://twitter.com/intent/tweet,191,0,0
1619158182145,191,Twitter-0,301,Moved Permanently,Thread Group 1-18,,true,,614,129,20,20,http://www.twitter.com/intent/tweet,191,0,0
1619158182336,174,Twitter-1,301,Moved Permanently,Thread Group 1-18,,true,,642,129,20,20,https://www.twitter.com/intent/tweet,174,0,0
1619158182510,235,Twitter-2,200,OK,Thread Group 1-18,text,true,,66847,125,20,20,https://twitter.com/intent/tweet,207,0,0
1619158182200,582,Twitter,200,OK,Thread Group 1-6,text,true,,68789,383,20,20,https://twitter.com/intent/tweet,173,0,0
1619158182200,173,Twitter-0,301,Moved Permanently,Thread Group 1-6,,true,,600,129,20,20,http://www.twitter.com/intent/tweet,173,0,0
1619158182373,171,Twitter-1,301,Moved Permanently,Thread Group 1-6,,true,,642,129,20,20,https://www.twitter.com/intent/tweet,171,0,0
1619158182544,238,Twitter-2,200,OK,Thread Group 1-6,text,true,,67547,125,20,20,https://twitter.com/intent/tweet,209,0,0
1619158182330,488,Facebook,200,OK,Thread Group 1-16,text,true,,192446,236,20,20,https://www.facebook.com/,200,0,0
1619158182330,200,Facebook-0,301,Moved Permanently,Thread Group 1-16,text,true,,349,118,20,20,http://www.facebook.com/,200,0,0
1619158182530,288,Facebook-1,200,OK,Thread Group 1-16,text,true,,192097,118,20,20,https://www.facebook.com/,267,0,0
1619158181556,1308,Quora ,200,OK,Thread Group 1-2,text,true,,159979,377,20,20,https://softwaremon.quora.com/,14,0,9
1619158181556,14,Quora -0,301,Moved Permanently,Thread Group 1-2,,true,,328,127,20,20,http://www.softwaremon.quora.com/,14,0,9
1619158181570,285,Quora -1,301,Moved Permanently,Thread Group 1-2,,true,,631,127,20,20,https://www.softwaremon.quora.com/,285,0,0
1619158181855,1009,Quora -2,200,OK,Thread Group 1-2,text,true,,159020,123,20,20,https://softwaremon.quora.com/,534,0,0
1619158182296,600,Twitter,200,OK,Thread Group 1-1,text,true,,68117,383,20,20,https://twitter.com/intent/tweet,173,0,0
1619158182296,173,Twitter-0,301,Moved Permanently,Thread Group 1-1,,true,,614,129,20,20,http://www.twitter.com/intent/tweet,173,0,0
1619158182469,186,Twitter-1,301,Moved Permanently,Thread Group 1-1,,true,,656,129,20,20,https://www.twitter.com/intent/tweet,186,0,0
1619158182655,241,Twitter-2,200,OK,Thread Group 1-1,text,true,,66847,125,20,20,https://twitter.com/intent/tweet,209,0,0
1619158182226,691,Facebook,200,OK,Thread Group 1-19,text,true,,192464,236,20,20,https://www.facebook.com/,200,0,0
1619158182226,200,Facebook-0,301,Moved Permanently,Thread Group 1-19,text,true,,366,118,20,20,http://www.facebook.com/,200,0,0
1619158182426,491,Facebook-1,200,OK,Thread Group 1-19,text,true,,192098,118,20,20,https://www.facebook.com/,266,0,0
1619158182337,593,Twitter,200,OK,Thread Group 1-11,text,true,,68104,383,20,20,https://twitter.com/intent/tweet,172,0,0
1619158182337,172,Twitter-0,301,Moved Permanently,Thread Group 1-11,,true,,614,129,20,20,http://www.twitter.com/intent/tweet,172,0,0
1619158182509,171,Twitter-1,301,Moved Permanently,Thread Group 1-11,,true,,642,129,20,20,https://www.twitter.com/intent/tweet,171,0,0
1619158182680,250,Twitter-2,200,OK,Thread Group 1-11,text,true,,66848,125,20,20,https://twitter.com/intent/tweet,206,0,0
